League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
NALCS,2015,Spring,Season,WFX,1,0,TIP,42,Avalon,Lissandra,Helios,Vi,Pobelter,Kassadin,Altec,Graves,Gleeb,Morgana,Impact,Maokai,Rush,RekSai,XiaoWeiXiao,Ezreal,Apollo,Sivir,Adrian,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2
NALCS,2015,Spring,Season,DIG,0,1,C9,27,Gamsu,Gnar,CloudNguyen,JarvanIV,Shiphtur,Leblanc,CoreJJ,Sivir,KiWiKiD,Thresh,Balls,Maokai,Meteos,Nidalee,Hai,Zed,Sneaky,Kalista,LemonNation,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3
NALCS,2015,Spring,Season,T8,0,1,TL,35,CaliTrlolz8,Maokai,Porpoise8,RekSai,Slooshi8,Kassadin,Maplestreet8,Draven,Dodo8,Thresh,Quas,Rumble,IWDominate,JarvanIV,FeniX,Ahri,Piglet,Graves,Xpecial,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3
NALCS,2015,Spring,Season,GV,0,1,TSM,43,Hauntzer,Maokai,Saintvicious,JarvanIV,Keane,Xerath,Cop,Graves,Bunny FuFuu,Braum,Dyrus,Lissandra,Santorin,Vi,Bjergsen,Zed,WildTurtle,Sivir,Lustboy,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146
NALCS,2015,Spring,Season,WFX,1,0,C9,37,Avalon,Lissandra,Helios,RekSai,Pobelter,Ahri,Altec,Graves,Gleeb,Leona,Balls,Maokai,Meteos,Vi,Hai,Kassadin,Sneaky,Lucian,LemonNation,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227
NALCS,2015,Spring,Season,TIP,1,0,CST,40,Impact,Rumble,Rush,Vi,XiaoWeiXiao,Lissandra,Apollo,Jinx,Adrian,Morgana,Cris,Gnar,Impaler,JarvanIV,Jesiz,Xerath,Mash,Graves,Sheep,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44
NALCS,2015,Spring,Season,CLG,0,1,TSM,46,ZionSpartan,Gnar,Xmithie,Vi,Link,Lissandra,Doublelift,Corki,Aphromoo,Janna,Dyrus,Sion,Santorin,JarvanIV,Bjergsen,Ahri,WildTurtle,Sivir,Lustboy,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425
NALCS,2015,Spring,Season,GV,1,0,TL,48,Hauntzer,Maokai,Saintvicious,Vi,Keane,Zed,Cop,Graves,Bunny FuFuu,Thresh,Quas,Swain,IWDominate,JarvanIV,FeniX,Azir,Piglet,Tristana,Xpecial,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec
NALCS,2015,Spring,Season,DIG,1,0,T8,39,Gamsu,Renekton,CloudNguyen,LeeSin,Shiphtur,Kassadin,CoreJJ,Corki,KiWiKiD,Annie,CaliTrlolz8,Maokai,Porpoise8,Vi,Slooshi8,Orianna,Maplestreet8,Sivir,Dodo8,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006
NALCS,2015,Spring,Season,TL,0,1,WFX,40,Quas,Fizz,IWDominate,RekSai,FeniX,Xerath,KEITH,Jinx,Xpecial,Janna,Avalon,Maokai,Helios,Vi,Pobelter,Leblanc,Altec,Graves,Imagine,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e
NALCS,2015,Spring,Season,T8,0,1,GV,49,CaliTrlolz8,Gnar,Porpoise8,RekSai,Slooshi8,Ahri,Maplestreet8,Graves,Dodo8,Annie,Hauntzer,Maokai,Saintvicious,Nunu,Keane,Kassadin,Cop,Sivir,Bunny FuFuu,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a
NALCS,2015,Spring,Season,C9,1,0,TIP,37,Balls,Maokai,Meteos,Nidalee,Hai,Zed,Sneaky,Corki,LemonNation,Veigar,Impact,DrMundo,Rush,LeeSin,XiaoWeiXiao,Leblanc,Apollo,Graves,Adrian,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc
NALCS,2015,Spring,Season,DIG,0,1,CLG,35,Gamsu,Rumble,CloudNguyen,RekSai,Shiphtur,Kassadin,CoreJJ,Lucian,KiWiKiD,Morgana,ZionSpartan,Maokai,Xmithie,Vi,Link,Ahri,Doublelift,Tristana,Aphromoo,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9
NALCS,2015,Spring,Season,TSM,1,0,CST,24,Dyrus,Maokai,Santorin,Vi,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Cris,Kassadin,Impaler,RekSai,mancloud,Zed,Mash,Sivir,Sheep,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396
NALCS,2015,Spring,Season,C9,1,0,CLG,44,Balls,Rumble,Meteos,RekSai,Hai,Zed,Sneaky,Corki,LemonNation,Braum,ZionSpartan,Maokai,Xmithie,JarvanIV,Link,Ahri,Doublelift,Sivir,Aphromoo,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b
NALCS,2015,Spring,Season,TL,1,0,TSM,54,Quas,Irelia,IWDominate,RekSai,FeniX,Lissandra,KEITH,Corki,Xpecial,Annie,Dyrus,Rumble,Santorin,JarvanIV,Bjergsen,Cassiopeia,WildTurtle,Jinx,Lustboy,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113
NALCS,2015,Spring,Season,WFX,0,1,DIG,47,Avalon,Sion,Helios,RekSai,Pobelter,Ahri,Altec,Graves,Imagine,Janna,Gamsu,Renekton,CloudNguyen,JarvanIV,Shiphtur,Kassadin,CoreJJ,Sivir,KiWiKiD,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d
NALCS,2015,Spring,Season,CST,0,1,T8,33,Cris,Maokai,Impaler,RekSai,mancloud,Ahri,Mash,Graves,Sheep,Janna,CaliTrlolz8,Irelia,Porpoise8,JarvanIV,Slooshi8,Leblanc,Maplestreet8,Sivir,Dodo8,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19
